date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-08-10,AC,,state,21619,562,True,881935,12,2451.31444,0.026
2020-08-10,AL,,state,68237,1688,True,3337357,27,2044.64191,0.0247
2020-08-10,AM,,state,107197,3384,True,4144597,13,2586.42758,0.0316
2020-08-10,AP,,state,38399,603,True,845731,16,4540.33256,0.0157
2020-08-10,BA,,state,194097,4011,True,14873064,29,1305.02363,0.0207
2020-08-10,CE,,state,189023,7994,True,9132078,23,2069.87939,0.0423
2020-08-10,DF,,state,126069,1762,True,3015268,53,4181.02139,0.014
2020-08-10,ES,,state,93069,2764,True,4018650,32,2315.92699,0.0297
2020-08-10,GO,,state,88573,2072,True,7018354,52,1262.01956,0.0234
2020-08-10,MA,,state,130566,3187,True,7075181,21,1845.40862,0.0244
2020-08-10,MG,,state,155075,3597,True,21168791,31,732.56427,0.0232
2020-08-10,MT,,state,65346,2204,True,3484466,51,1875.35192,0.0337
2020-08-10,PA,,state,169613,5901,True,8602865,15,1971.58737,0.0348
2020-08-10,PB,,state,90366,2023,True,4018127,25,2248.95828,0.0224
2020-08-10,PE,,state,105381,6970,True,9557071,26,1102.64955,0.0661
2020-08-10,PI,,state,61144,1526,True,3273227,22,1868.00366,0.025
2020-08-10,PR,,state,94124,2398,True,11433957,41,823.19708,0.0255
2020-08-10,RJ,,state,180016,14108,True,17264943,33,1042.66779,0.0784
2020-08-10,RO,,state,44372,944,True,1777225,11,2496.70132,0.0213
2020-08-10,RS,,state,84034,2417,True,11377239,43,738.61505,0.0288
2020-08-10,SC,,state,106928,1541,True,7164788,42,1492.40982,0.0144
2020-08-10,SE,,state,64974,1614,True,2298696,28,2826.55906,0.0248
2020-08-10,SP,,state,628415,25151,True,45919049,35,1368.52791,0.04
2020-08-09,AC,,state,21587,561,False,881935,12,2447.68605,0.026
2020-08-09,AL,,state,67613,1677,False,3337357,27,2025.94448,0.0248
2020-08-09,AM,,state,106950,3359,False,4144597,13,2580.46802,0.0314
2020-08-09,AP,,state,38208,602,False,845731,16,4517.74855,0.0158
2020-08-09,BA,,state,193029,3953,False,14873064,29,1297.84287,0.0205
2020-08-09,CE,,state,188638,7979,False,9132078,23,2065.66348,0.0423
2020-08-09,DF,,state,123057,1731,False,3015268,53,4081.12977,0.0141
2020-08-09,ES,,state,91791,2735,False,4018650,32,2284.12527,0.0298
2020-08-09,GO,,state,85154,2020,False,7018354,52,1213.30443,0.0237
2020-08-09,MA,,state,130136,3169,False,7075181,21,1839.33104,0.0244
2020-08-09,MG,,state,153927,3537,False,21168791,31,727.1412,0.023
2020-08-09,MS,,state,31739,523,True,2778986,50,1142.10723,0.0165
2020-08-09,MT,,state,63680,2147,False,3484466,51,1827.53971,0.0337
2020-08-09,PA,,state,168151,5893,False,8602865,15,1954.59303,0.035
2020-08-09,PB,,state,90082,2000,False,4018127,25,2241.89031,0.0222
2020-08-09,PE,,state,105381,6970,False,9557071,26,1102.64955,0.0661
2020-08-09,PI,,state,60178,1503,False,3273227,22,1838.49149,0.025
2020-08-09,RJ,,state,178850,14080,False,17264943,33,1035.91422,0.0787
2020-08-09,RN,,state,55617,1983,True,3506853,24,1585.95185,0.0357
2020-08-09,RO,,state,44010,943,False,1777225,11,2476.33248,0.0214
2020-08-09,RR,,state,36449,547,True,605761,14,6017.05953,0.015
2020-08-09,RS,,state,83991,2360,False,11377239,43,738.23711,0.0281
2020-08-09,SC,,state,105935,1445,False,7164788,42,1478.55038,0.0136
2020-08-09,SE,,state,64693,1589,False,2298696,28,2814.33474,0.0246
