data.hora;data;tcle;cidade;uf;idade;sexo;raca;escolaridade;renda;rendafam;estcivil;filho_dep;qtd_filho_dep;plano;data_plano;plano_covid;preco_plano;pgt_plano;quarentena;teste_cov;result_teste_cov;contat_cov;morte_cov;equip_defensiv;gasto_equip_defensiv
6/4/2020 14:41:57;04/06/2020;;Salvador;BA;36;Masculino;Pardo;;5000;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não contratei plano de saúde durante a pandemia.;0;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;10
6/4/2020 14:43:53;04/06/2020;;Salvador;BA;35;Masculino;Pardo;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;1;Não;Não tenho plano de saúde;Não contratei plano de saúde durante a pandemia.;0;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;100
6/4/2020 15:03:13;04/06/2020;;Salvador;BA;57;Feminino;Pardo;;1400;;Casado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Não, contratei antes da pandemia.;Sim, teria contrato;699;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;60
6/4/2020 15:17:08;04/06/2020;;Brasília;DF;23;Feminino;Branco;;10000;;Solteiro;Não possuo filhos ou dependentes.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;;;;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 15:20:06;04/06/2020;;Brasília;DF;34;Masculino;Pardo;;5000;;Casado;Não possuo filhos ou dependentes.;1;Sim;;;650;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;15
6/4/2020 15:31:24;04/06/2020;;Salvador;BA;13;Prefiro não dizer;Indígena;;13;;Outro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não tenho plano de saúde;;Não tenho plano de saúde;Não fiz nada, levei vida normal;0;Não fiz o teste.;;;Não;0
6/4/2020 15:44:50;04/06/2020;;Brasília;DF;28;Masculino;Preto;;12000;;Outro;Não possuo filhos ou dependentes.;2;Sim;;;400;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 15:57:31;04/06/2020;;Salvador;BA;60;Feminino;Pardo;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;;900;Sim;Fiquei em casa, só saindo para compras em supermercado e farmácia;Não;Não fiz o teste.;;;Sim;150
6/4/2020 16:55:01;04/06/2020;;Salvador;BA;29;Masculino;Pardo;;10000;;Casado;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Teria contratado o plano de saúde mesmo sem a Pandemia do coronavírus.;300;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;500
6/4/2020 20:28:07;04/06/2020;;Salvador;BA;28;Feminino;Pardo;;760;;Casado;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;30
6/4/2020 20:28:28;04/06/2020;;Brasília;DF;23;Masculino;Branco;;1675;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;30
6/4/2020 20:33:46;04/06/2020;;Salvador;BA;26;Masculino;Pardo;;2500;;Casado;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;30
6/4/2020 20:55:29;04/06/2020;Sim;Teixeira de Freitas;BA;27;Masculino;Branco;;2000;;Casado;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:04:36;04/06/2020;Sim;Teixeira de Freitas;BA;44;Feminino;Pardo;;600;;Casado;Sim, filhos ou dependentes moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;240;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;120
6/4/2020 21:10:16;04/06/2020;Sim;Recife;PE;36;Masculino;Branco;;11100;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
6/4/2020 21:14:49;04/06/2020;Sim;Brasília;DF;52;Feminino;Branco;;10000;;Divorciado / Separado / desquitado;Não, meus filhos ou dependentes NÃO moram comigo.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2000;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
6/4/2020 21:17:17;04/06/2020;Sim;Salvador;BA;47;Feminino;Branco;;11000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2900;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;500
6/4/2020 21:19:01;04/06/2020;Sim;Patrocínio ;MG;27;Feminino;Branco;;8000;;Casado;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;80
6/4/2020 21:20:25;04/06/2020;Sim;Brasília;DF;26;Feminino;Pardo;;8300;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;430;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Sim;Negativo;;;Sim;90
6/4/2020 21:21:14;04/06/2020;Sim;Ipojuca;PE;26;Masculino;Pardo;;0;;Solteiro;Não possuo filhos ou dependentes.;3;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;150
6/4/2020 21:21:20;04/06/2020;Sim;Teixeira de Freitas;BA;35;Feminino;Pardo;;2000;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;220;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:21:32;04/06/2020;Sim;Cristianópolis ;GO;32;Feminino;Amarelo;;1000;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:25:08;04/06/2020;Sim;Silvânia;GO;26;Feminino;Branco;;4000;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:26:18;04/06/2020;Sim;Recife;PE;27;Feminino;Branco;;4000;;Solteiro;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;233;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:26:34;04/06/2020;Sim;Anápolis;GO;60;Feminino;Branco;;12000;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde DURANTE A PANDEMIA.;Não;120;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;;;;Sim;150
6/4/2020 21:27:55;04/06/2020;Sim;Teixeira de Freitas;BA;17;Masculino;Branco;;499;;Solteiro;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Sim;Negativo;;;Sim;150
6/4/2020 21:28:11;04/06/2020;Sim;Silvânia;GO;62;Masculino;Pardo;;25000;;Casado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;800;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;120
6/4/2020 21:28:54;04/06/2020;Sim;Brasília;DF;52;Feminino;Branco;;10000;;Divorciado / Separado / desquitado;Não, meus filhos ou dependentes NÃO moram comigo.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2000;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
6/4/2020 21:30:25;04/06/2020;Sim;Conceição do Almeida;BA;33;Masculino;Pardo;;100;;Solteiro;Não possuo filhos ou dependentes.;3;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;10
6/4/2020 21:30:43;04/06/2020;Sim;Goiânia ;GO;27;Feminino;Branco;;10000;;Solteiro;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Não;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;70
6/4/2020 21:31:23;04/06/2020;Sim;Ipuã ;SP;24;Feminino;Branco;;3000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;120;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:32:19;04/06/2020;Sim;Paulista ;PE;41;Masculino;Pardo;;8000;;Casado;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;400;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
6/4/2020 21:32:29;04/06/2020;Sim;Niterói;RJ;33;Feminino;Branco;;0;;Outro;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;0;Não fiz o teste.;;;Não;0
6/4/2020 21:32:55;04/06/2020;Sim;São Thomé das Letras ;MG;30;Masculino;Preto;;1200;;Solteiro;Não possuo filhos ou dependentes.;1;Não;Não tenho plano de saúde;Sim;;Não;Não fiz nada, levei vida normal;0;Positivo;;;Não;5000
6/4/2020 21:33:00;04/06/2020;Sim;Ipuã ;SP;41;Feminino;Branco;;5000;;Casado;Sim, filhos ou dependentes moram comigo.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;350;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:33:13;04/06/2020;Sim;Brasília;DF;60;Feminino;Pardo;;10000;;Casado;Sim, filhos ou dependentes moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;2400;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;120
6/4/2020 21:33:40;04/06/2020;Sim;Paraguaçu Paulista ;SP;52;Masculino;Branco;;3000;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;25
6/4/2020 21:34:20;04/06/2020;Sim;Ipuã ;SP;32;Feminino;Branco;;3000;;Solteiro;Não possuo filhos ou dependentes.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;175;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:34:23;04/06/2020;Sim;Belo Horizonte ;MG;55;Masculino;Branco;;10000;;Casado;Sim, filhos ou dependentes moram comigo.;5;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;200
6/4/2020 21:35:01;04/06/2020;Sim;Goiânia;GO;52;Masculino;Pardo;;10000;;Casado;Sim, filhos ou dependentes moram comigo.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;350;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;150
6/4/2020 21:35:10;04/06/2020;Sim;Recife;PE;58;Feminino;Branco;;3800;;Divorciado / Separado / desquitado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;1120;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;190
6/4/2020 21:35:14;04/06/2020;Sim;Brasília;DF;24;Masculino;Branco;;1500;;Solteiro;Não possuo filhos ou dependentes.;2;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:35:37;04/06/2020;Sim;Teixeira de Freitas;BA;28;Masculino;Pardo;;750;;Solteiro;Não possuo filhos ou dependentes.;6;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;50
6/4/2020 21:36:46;04/06/2020;Sim;Feira de Santana ;BA;38;Masculino;Pardo;;3000;;Casado;Sim, filhos ou dependentes moram comigo.;8;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;250;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;300
6/4/2020 21:36:54;04/06/2020;Sim;Feira de Santana ;BA;38;Masculino;Pardo;;3000;;Casado;Sim, filhos ou dependentes moram comigo.;8;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;250;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Não;Não fiz o teste.;;;Sim;300
6/4/2020 21:37:31;04/06/2020;Sim;Brasília;DF;23;Feminino;Branco;;2000;;Solteiro;Não possuo filhos ou dependentes.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;492;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
6/4/2020 21:38:51;04/06/2020;Sim;Tietê ;SP;68;Masculino;Branco;;8000;;Casado;Não, meus filhos ou dependentes NÃO moram comigo.;2;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;900;Sim;Procurei tomar cuidados de distanciamento social, mas continuei trabalhando e saindo;Sim;Negativo;;;Sim;300
6/4/2020 21:39:16;04/06/2020;Sim;Brasília;DF;27;Masculino;Branco;;7000;;Solteiro;Não possuo filhos ou dependentes.;1;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;260;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;150
6/4/2020 21:39:37;04/06/2020;Sim;Silvânia;GO;19;Masculino;Pardo;;400;;Solteiro;Não possuo filhos ou dependentes.;4;Não;Não tenho plano de saúde;Não;;Não tenho plano de saúde;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;120
6/4/2020 21:39:39;04/06/2020;Sim;Senador Canedo;GO;27;Feminino;Pardo;;3000;;Solteiro;Não possuo filhos ou dependentes.;4;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;310;Sim;Fiquei rigorosamente em casa, saindo só por necessidades de atendimento à saúde.;Não;Não fiz o teste.;;;Sim;100
6/4/2020 21:40:23;04/06/2020;Sim;Aparecida de Goiânia;GO;26;Feminino;Amarelo;;1200;;Solteiro;Sim, filhos ou dependentes moram comigo.;3;Sim;Você contratou o plano de saúde ANTES DA PANDEMIA.;Não;300;Sim;Fiquei em casa, só saindo para compras em supermercado e/ou farmácia;Não;Não fiz o teste.;;;Sim;60
